Length_mm,Height_mm,Width_mm,Load_N,Material_ABS,Material_Carbon Fiber,Material_Glass Fiber,Max_Stress_MPa,Max_Deformation_mm
100,10,10,250,True,False,False,2.74,0.124
100,10,10,1000,True,False,False,11.0,0.498
100,10,10,500,True,False,False,148.0,37.4
100,20,10,250,False,False,True,19.1,0.163
100,20,10,750,False,True,False,57.6,0.21
100,20,10,1000,True,False,False,75.5,9.71
100,30,10,250,True,False,False,9.77,0.766
100,30,10,1000,False,False,True,38.6,0.205
100,30,10,750,False,False,True,29.0,0.153
120,10,10,250,False,False,True,85.8,2.17
120,10,10,750,False,False,True,257.0,6.5
120,10,10,1000,False,False,True,343.0,8.67
120,20,10,1000,False,False,True,89.9,1.11
120,20,10,250,False,True,False,22.6,0.119
120,20,10,500,True,False,False,44.7,8.28
120,30,10,500,False,True,False,21.8,0.0735
120,30,10,750,True,False,False,3.23,0.149
120,30,10,1000,True,False,False,43.5,5.13
140,10,10,500,True,False,False,208.0,102.0
140,10,10,1000,False,True,False,398.0,5.89
140,10,10,250,True,False,False,104.0,51.1
140,20,10,750,True,False,False,78.9,19.6
140,20,10,500,False,False,True,50.4,0.875
140,20,10,1000,False,True,False,50.5,0.375
140,30,10,250,False,False,True,12.4,0.134
140,30,10,500,False,True,False,24.8,0.115
140,30,10,1000,False,False,True,49.5,0.534
